% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 26 2023, 17:05"
% Table,09-12 fine 3x3x3 - 3x3x3
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
203700,22.41730891713445,22.582992025653596,21.788750762899213,25.05237688088266,22.337917157471338,21.46373626180292,22.973266248290884,23.804852090472536,21.187076608789425,22.985643960421157,23.893057251054415,22.113989478592657,20.46507764198617,25.19239769034533,21.686395381475563,23.746378930286028,25.44812925812664,21.353212403633506,23.56920679248998,23.980233894093942,22.11892604785936,23.171257967785436,24.196536416097047,21.83616862867376,24.219378978518705,25.23689509380887,21.725875819868122,17
204000,22.40708226198518,22.562485263637654,21.755866465504255,25.2339914303775,22.33172287975492,21.437522827615396,23.006064121331235,23.835785744137354,21.172075658972574,22.981333095984553,23.866081258205497,22.078387200460952,20.47482593704683,25.181381257414557,21.661985655764852,23.8021118360748,25.497587843174358,21.34076143073105,23.56792945347422,23.983602938073773,22.08812252469886,23.20420208431858,24.221609780440815,21.810741945502343,24.258603159801453,25.28523291067978,21.71679443138987,17.69999999999999
204300,22.396855606835913,22.541978501621657,21.722982168109297,25.41560597987234,22.325528602038617,21.411309393427757,23.038861994371587,23.86671939780217,21.15707470915578,22.97702223154795,23.83910526535658,22.04278492232919,20.484574232107605,25.170364824483727,21.637575930054197,23.857844741863516,25.547046428222075,21.32831045782865,23.56665211445852,23.986971982053603,22.057319001538417,23.237146200851726,24.246683144784583,21.78531526233087,24.297827341084144,25.33357072755075,21.707713042911735,17.80000000000001
204600,22.386628951686646,22.521471739605772,21.690097870714283,25.597220529367178,22.319334324322142,21.385095959240175,23.071659867411938,23.897653051467046,21.14207375933887,22.9727113671114,23.812129272507605,22.007182644197428,20.494322527168322,25.159348391552896,21.613166204343543,23.913577647652232,25.596505013269848,21.31585948492625,23.56537477544282,23.990341026033434,22.02651547837786,23.27009031738487,24.271756509128295,21.75988857915945,24.33705152236695,25.38190854442172,21.698631654433598,18.399999999999977
204900,22.37640229653732,22.50096497758983,21.657213573319325,25.778835078862016,22.313140046605724,21.35888252505265,23.10445774045229,23.928586705131806,21.12707280952202,22.96840050267474,23.785153279658687,21.971580366065723,20.50407082222904,25.148331958622123,21.58875647863283,23.969310553441005,25.645963598317508,21.303408512023736,23.56409743642712,23.99371007001332,21.995711955217416,23.303034433918015,24.296829873472007,21.734461895987977,24.376275703649753,25.430246361292745,21.689550265955347,18.100000000000023
205200,22.366175641388168,22.480458215573833,21.62432927592431,25.9604496283568,22.306945768889307,21.33266909086501,23.13725561349264,23.959520358796624,21.112071859705168,22.964089638238192,23.75817728680977,21.93597808793396,20.513819117289756,25.137315525691236,21.564346752922177,24.025043459229664,25.695422183365224,21.290957539121337,23.56282009741136,23.997079113993095,21.964908432056973,23.33597855045116,24.321903237815775,21.709035212816502,24.4154998849325,25.478584178163658,21.68046887747721,18.19999999999999
205500,22.3559489862389,22.459951453557835,21.591444978529353,26.142064177851637,22.30075149117289,21.306455656677485,23.170053486532993,23.99045401246144,21.097070909888373,22.959778773801588,23.73120129396085,21.900375809802313,20.523567412350474,25.126299092760405,21.53993702721158,24.080776365018437,25.744880768412884,21.27850656621888,23.561542758395717,24.000448157972983,21.934104908896472,23.368922666984304,24.346976602159486,21.683608529645085,24.45472406621525,25.526921995034627,21.671387488999017,18.5
205800,22.345722331089632,22.439444691541894,21.558560681134395,26.323678727346476,22.29455721345647,21.280242222489903,23.202851359573344,24.021387666126202,21.082069960071465,22.955467909364984,23.704225301111933,21.864773531670494,20.53331570741119,25.11528265982963,21.515527301500867,24.136509270807153,25.794339353460657,21.266055593316423,23.56026541937996,24.003817201952813,21.903301385735972,23.40186678351745,24.372049966503255,21.658181846473553,24.493948247497997,25.575259811905596,21.662306100520823,18.399999999999977
206100,22.335495675940365,22.418937929525896,21.525676383739437,26.50529327684137,22.288362935739997,21.254028788302378,23.235649232613696,24.05232131979102,21.067069010254613,22.951157044928436,23.677249308263015,21.82917125353879,20.54306400247185,25.104266226898744,21.491117575790213,24.19224217659587,25.843797938508374,21.253604620413967,23.55898808036426,24.007186245932644,21.87249786257553,23.43481090005065,24.397123330846966,21.632755163302193,24.5331724287808,25.623597628776565,21.65322471204263,18.30000000000001
206400,22.325269020791097,22.39843116751001,21.49279208634448,26.686907826336153,22.282168658023636,21.22781535411474,23.268447105654047,24.08325497345578,21.05206806043782,22.946846180491832,23.650273315414097,21.793568975407027,20.552812297532626,25.09324979396797,21.46670785007956,24.24797508238464,25.893256523556033,21.241153647511567,23.5577107413485,24.01055528991253,21.841694339415085,23.467755016583794,24.42219669519079,21.607328480130718,24.572396610063493,25.67193544564759,21.644143323564435,17.899999999999977
